"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	„Wir haben jetzt 4 Monate alte Mäuse, die Diabetes hatten und jetzt keinen mehr haben“, fügte er hinzu.	"Wir haben jetzt vier Monate alte Mäuse, die nicht-diabetisch sind, die früher Diabetiker waren", fügte er hinzu.	"We now have 4 months old mice who had diabetes and now have no more," he added.
Think of the skiing route as of a similar hiking route.	Betrachten Sie die Skiroute wie eine vergleichbare Wanderroute.	Betrachten Sie die Skiroute als eine ähnliche Wanderroute.	Consider the ski route as a comparable hiking route.
In good conditions you will be able to cover somewhat greater distances than walking – but only very seldom you will get the speeds of cross country skiing without a heavy backpack in groomed tracks.	Bei guten Verhältnissen sind Sie in der Lage, etwas größere Distanzen als beim Wandern zurückzulegen – nur sehr selten werden Sie die Geschwindigkeit vom Langlauf auf gepflegten Loipen ohne einen schweren Rucksack erreichen.	Bei guten Bedingungen können Sie etwas größere Distanzen zurücklegen als zu Fuß – aber nur sehr selten bekommen Sie die Geschwindigkeiten des Langlaufens ohne schweren Rucksack in präparierten Strecken.	With good conditions, you are able to travel a little longer distances than hiking – very rarely you will reach the speed of cross-country skiing on well-kept trails without a heavy backpack.
Europe is a continent that is relatively small but with many independent countries. Under normal circumstances, travelling through multiple countries would mean having to go through visa applications and passport control multiple times.	Europa ist ein relativ kleiner Kontinent, hat aber zahlreiche unabhängige Länder. Normalerweise müsste man mehrfach Visa beantragen und mehrere Passkontrollen durchlaufen, wenn man durch mehrere Länder reisen möchte.	Europa ist ein Kontinent, der relativ klein ist, aber mit vielen unabhängigen Ländern. Unter normalen Umständen würde Reisen durch mehrere Länder bedeuten, durch Visumanträge und Passkontrolle mehrmals gehen zu müssen.	Europe is a relatively small continent, but it has many independent countries. Usually you would have to apply for visas several times and go through several passport checks if you wanted to travel through several countries.
The Schengen zone, however, works somewhat like one country in this respect.	Der Schengen-Raum funktioniert in dieser Hinsicht jedoch ein wenig wie ein Land.	Der Schengen-Raum funktioniert jedoch in dieser Hinsicht etwas wie ein Land.	However, the Schengen area works a little like a country in this respect.
As long as you stay in this zone, you can generally cross borders without going through passport control checkpoints again.	Solange man in dieser Zone bleibt, kann man normalerweise die Grenzen überschreiten, ohne erneut durch die Passkontrolle zu müssen.	Solange Sie in dieser Zone bleiben, können Sie in der Regel Grenzen überschreiten, ohne durch Passkontrolle Checkpoints wieder zu gehen.	As long as you stay in this zone, you can normally cross the borders without having to go through passport control again.
Similarly, by having a Schengen visa, you do not need to apply for visas to each of the Schengen member countries separately, hence saving time, money and paperwork.	Entsprechend müssen Sie mit einem Schengen-Visum nicht für jedes der Schengen-Mitgliedsländer einzeln ein Visum beantragen, was Zeit, Geld und Bürokratie spart.	Ebenso müssen Sie mit einem Schengen-Visum nicht in jedem Schengen-Mitgliedstaat gesondert Visa beantragen, wodurch Zeit, Geld und Papierkram eingespart werden.	Accordingly, with a Schengen visa, you do not have to apply individually for a visa for each of the Schengen Member States, which saves time, money and bureaucracy.
There is no universal definition for which manufactured items are antiques. Some tax agencies define goods older than 100 years as antiques.	Es gibt keine allgemeingültige Definition dafür, welche hergestellten Gegenstände als Antiquitäten gelten. Manche Steuerbehörden definieren über 100 Jahre alte Waren als Antiquitäten.	Es gibt keine universelle Definition, für die hergestellte Gegenstände Antiquitäten sind. Einige Steuerbehörden definieren Waren älter als 100 Jahre als Antiquitäten.	There is no general definition of what manufactured items are considered antiques. Some tax authorities define goods over 100 years old as antiques.
The definition has geographic variations, where the age limit might be shorter in places such as North America than in Europe.	Die Definition weist geografische Abweichungen auf, bei denen die Altersgrenze in Gegenden wie Nordamerika geringer sein kann als in Europa.	Die Definition hat geografische Unterschiede, wo die Altersgrenze in Orten wie Nordamerika kürzer sein könnte als in Europa.	The definition shows geographical differences where the age limit may be lower in areas such as North America than in Europe.
Handicraft products might be defined as antiques, though they are younger than similar mass-produced goods.	Handgefertigte Produkte könnten als „antik“ bezeichnet werden, obwohl sie jünger als ähnliche Erzeugnisse aus Massenproduktion sind.	Handwerkliche Produkte könnten als Antiquitäten definiert werden, obwohl sie jünger sind als ähnliche Massenware.	Handcrafted products could be referred to as "antical" although they are younger than similar products from mass production.
Reindeer husbandry is an important livelihood among the Sámi and the culture surrounding the trade is important also for many with other professions.	Die Rentierzucht stellt eine wichtige Quelle des  Lebensunterhalts der Sámi dar, und die Kultur rund um den Handel ist auch für viele, die in anderen Berufe arbeiten, von Bedeutung.	Rentierhaltung ist ein wichtiger Lebensunterhalt unter den Sámi und die Kultur rund um den Handel ist auch für viele mit anderen Berufen wichtig.	Reindeer breeding is an important source of livelihood for the Sámi, and the culture of commerce is also important for many who work in other professions.
Even traditionally, though, not all Sámi have been involved in big scale reindeer husbandry, but lived from fishing, hunting and similar, having reindeer mostly as draft animals.	Auch in der Vergangenheit haben nicht alle Sámi im großen Stil Rentiere gezüchtet, sondern haben von Fischerei, Jagd und Ähnlichem gelebt. Rentiere hielten sie hauptsächlich als Zugtiere.	Traditionell waren jedoch nicht alle Sámi in der Rentierhaltung im großen Stil tätig, sondern lebten vom Fischen, Jagen und Ähnlichem, wobei Rentiere hauptsächlich als Zugtiere galten.	Even in the past, not all Sámi have bred reindeer in a large style, but have lived on fishing, hunting and the like. Reindeer kept them mainly as moving animals.
Today many Sámi work in modern trades. Tourism is an important income in Sápmi, the Sámi area.	Heute arbeiten viele Sámi in modernen Berufen. Tourismus ist eine wichtige Einkommensquelle in Sápmi, der Sámi-Region.	Heute arbeiten viele Sámi in modernen Handwerken. Tourismus ist ein wichtiges Einkommen in Sápmi, der Region Sámi.	Today many Sámi work in modern professions. Tourism is an important source of income in Sápmi, the Sámi region.
Though it is widely used, especially among non-Romani, the word "Gypsy" is often considered offensive because of its associations with negative stereotypes and inaccurate perceptions of Romani people.	"Auch wenn die Bezeichnung ""Zigeuner"" vor allem von Nicht-Roma verbreitet verwendet wird, wird sie oftmals als beleidigend aufgefasst, da mit ihr negative Stereotype und ungenaue Wahrnehmungen der Roma assoziiert werden."	Obwohl es weit verbreitet ist, vor allem unter Nicht-Romani, das Wort "Zigeuner" wird oft als anstößig wegen seiner Assoziationen mit negativen Stereotypen und ungenaue Wahrnehmungen der Roma-Leute.	"Even though the term "gypsies" is widely used by non-Roma, it is often seen as offensive because it is associated with negative stereotypes and inaccurate perceptions of the Roma."
If the country you will be visiting becomes subject to a travel advisory, your travel health insurance or your trip cancellation insurance may be affected.	Wenn für das Land, das Sie besuchen werden, ein Reisehinweis ausgegeben wird, kann Ihre Reisekrankenversicherung oder Reiserücktrittsversicherung betroffen sein.	Wenn das Land, das Sie besuchen, unterliegt eine Reiseberatung, Ihre Reise Krankenversicherung oder Ihre Reise-Stornoversicherung betroffen sein kann.	If a travel advice is issued for the country you are visiting, your travel health insurance or travel cancellation insurance may be affected.
You may also wish to consult the advice of governments other than your own, but their advice is designed for their citizens.	Sie können auch die Ratschläge anderer Regierungen als der Ihren konsultieren. Deren Hinweise sind jedoch auf ihre eigenen Staatsbürger zugeschnitten.	Sie möchten vielleicht auch den Rat anderer Regierungen als Ihrer eigenen konsultieren, aber ihr Rat ist für ihre Bürger bestimmt.	You can also consult the advice of governments other than yours, but their references are tailored to their own citizens.
As one example, American citizens in the Middle East might face different situations from Europeans or Arabs.	Zum Beispiel sind amerikanische Bürger im Nahen Osten möglicherweise mit anderen Situationen konfrontiert als Europäer oder Araber.	Als Beispiel könnten amerikanische Bürger im Nahen Osten mit anderen Situationen als Europäer oder Araber konfrontiert sein.	For example, American citizens in the Middle East may be confronted with situations other than Europeans or Arabs.
Advisories are merely a brief summary of the political situation in one country.	Beratungen sind lediglich eine kurze Zusammenfassung der politischen Situation in einem Land.	Beratung ist nur eine kurze Zusammenfassung der politischen Lage in einem Land.	Discussions are just a brief summary of the political situation in one country.
The views presented are often cursory, general and oversimplified compared to the more detailed information available elsewhere.	Die dargestellten Ansichten sind oft oberflächlich, allgemein und im Vergleich zu den detaillierteren Informationen, die anderswo zu finden sind, zu stark vereinfacht.	Die vorgestellten Ansichten sind im Vergleich zu den an anderer Stelle verfügbaren detaillierteren Informationen häufig kursiv, allgemein und übervereinfacht.	The views presented are often superficial, general and too simplified compared to the more detailed information found elsewhere.
Severe weather is the generic term for any dangerous weather phenomenon with the potential to cause damage, serious social disruption, or loss of human life.	Unwetter ist der Sammelbegriff für jedes gefährliche Wetterphänomen mit dem Potenzial, Schäden, schwere soziale Störungen oder den Verlust von Menschenleben zu verursachen.	Schweres Wetter ist der allgemeine Begriff für jedes gefährliche Wetterphänomen mit dem Potenzial, Schaden, schwere soziale Störungen oder Verlust von Menschenleben zu verursachen.	Severe weather is the collective term for any dangerous weather phenomenon with the potential to cause damage, serious social disturbances or loss of life.
Severe weather can occur anywhere in the world, and there are different types of it, which can depend on geography, topography, and atmospheric conditions.	Unwetter können überall auf der Welt auftreten und es gibt verschiedene Arten davon, die von der Geographie, Topographie und den atmosphärischen Bedingungen abhängen.	Schweres Wetter kann überall auf der Welt auftreten, und es gibt verschiedene Arten davon, die von Geographie, Topographie und atmosphärischen Bedingungen abhängen können.	Severe weather can occur anywhere in the world and there are different types of weather that depend on geography, topography and atmospheric conditions.
